zone_id,recorded_river_level,recorded_rainfall_24h,historical_outcome
Zone_A,2.6,6.08,NORMAL
Zone_A,2.8,42.61,NORMAL
Zone_A,5.52,62.43,FLOODED
Zone_A,2.81,50.33,NORMAL
Zone_A,6.59,81.5,FLOODED
Zone_A,3.28,98.23,FLOODED
Zone_A,5.4,6.24,FLOODED
Zone_A,1.69,16.84,NORMAL
Zone_A,5.5,18.37,FLOODED
Zone_A,4.31,9.33,NORMAL
Zone_A,6.56,34.4,FLOODED
Zone_A,6.49,94.49,FLOODED
Zone_A,1.53,46.41,NORMAL
Zone_A,1.64,90.87,FLOODED
Zone_A,4.35,7.49,NORMAL
Zone_A,2.11,38.35,NORMAL
Zone_A,6.67,69.29,FLOODED
Zone_A,6.27,36.65,FLOODED
Zone_A,1.74,97.43,FLOODED
Zone_A,1.59,94.77,FLOODED
Zone_A,3.53,1.01,NORMAL
Zone_A,5.29,98.05,FLOODED
Zone_A,6.81,16.09,FLOODED
Zone_A,2.5,56.55,NORMAL
Zone_A,5.01,73.94,FLOODED
Zone_A,2.5,95.9,FLOODED
Zone_A,5.01,84.7,FLOODED
Zone_A,4.47,41.43,NORMAL
Zone_A,6.87,58.21,FLOODED
Zone_A,6.27,95.33,FLOODED
Zone_A,5.21,54.89,FLOODED
Zone_A,1.52,4.0,NORMAL
Zone_A,2.6,18.6,NORMAL
Zone_A,2.9,30.49,NORMAL
Zone_A,3.48,42.05,NORMAL
Zone_A,2.04,4.24,NORMAL
Zone_A,5.21,53.73,FLOODED
Zone_A,3.94,63.44,FLOODED
Zone_A,6.05,42.77,FLOODED
Zone_A,5.03,95.36,FLOODED
Zone_A,6.12,42.6,FLOODED
Zone_A,5.05,17.71,FLOODED
Zone_A,4.58,98.13,FLOODED
Zone_A,4.35,92.76,FLOODED
Zone_A,3.74,99.88,FLOODED
Zone_A,4.69,4.23,FLOODED
Zone_A,4.73,27.46,FLOODED
Zone_A,1.68,82.09,FLOODED
Zone_A,3.02,79.65,FLOODED
Zone_A,3.09,19.43,NORMAL
Zone_B,6.86,36.16,FLOODED
Zone_B,4.81,61.0,FLOODED
Zone_B,4.58,91.47,FLOODED
Zone_B,5.21,40.37,FLOODED
Zone_B,6.24,18.11,FLOODED
Zone_B,4.49,95.06,FLOODED
Zone_B,4.94,81.7,FLOODED
Zone_B,5.09,83.94,FLOODED
Zone_B,6.69,27.29,FLOODED
Zone_B,2.43,48.4,NORMAL
Zone_B,5.36,22.72,FLOODED
Zone_B,1.52,34.29,NORMAL
Zone_B,6.83,69.5,FLOODED
Zone_B,3.71,19.26,NORMAL
Zone_B,3.46,16.98,NORMAL
Zone_B,2.08,90.67,FLOODED
Zone_B,6.99,16.41,FLOODED
Zone_B,1.8,32.97,NORMAL
Zone_B,4.04,20.48,NORMAL
Zone_B,3.16,20.09,NORMAL
Zone_B,5.76,71.26,FLOODED
Zone_B,4.99,38.72,FLOODED
Zone_B,6.5,96.95,FLOODED
Zone_B,2.46,22.3,NORMAL
Zone_B,4.39,9.13,NORMAL
Zone_B,3.9,58.18,NORMAL
Zone_B,4.37,33.09,NORMAL
Zone_B,4.48,95.88,FLOODED
Zone_B,2.63,65.48,FLOODED
Zone_B,1.74,6.64,NORMAL
Zone_B,4.54,10.49,FLOODED
Zone_B,1.62,17.15,NORMAL
