zone_id,timestamp,river_level,rainfall
Zone_A,2026-06-01T00:00:00,,6.02
Zone_A,2026-06-01T01:00:00,2.08,0.69
Zone_A,2026-06-01T02:00:00,2.04,-999.0
Zone_A,2026-06-01T03:00:00,1.98,0.09
Zone_A,2026-06-01T04:00:00,1.98,2.61
Zone_A,2026-06-01T05:00:00,1.92,
Zone_A,2026-06-01T06:00:00,2.19,3.26
Zone_A,2026-06-01T07:00:00,2.26,2.43
Zone_A,2026-06-01T08:00:00,2.69,8.49
Zone_A,2026-06-01T09:00:00,2.49,0.51
Zone_A,2026-06-01T10:00:00,2.26,0.2
Zone_A,2026-06-01T11:00:00,2.42,2.11
Zone_A,2026-06-01T12:00:00,5000.0,1.4
ZONE_A,2026-06-01T13:00:00,2.61,0.76
Zone_A,2026-06-01T14:00:00,2.71,4.04
Zone_A,2026-06-01T15:00:00,2.85,3.46
Zone_A,2026-06-01T16:00:00,2.67,
ZONE_A,2026-06-01T17:00:00,5000.0,1.09
ZONE_A,2026-06-01T18:00:00,2.55,0.94
ZONE_A,2026-06-01T19:00:00,,
Zone_A,2026-06-01T20:00:00,2.67,0.66
Zone_A,2026-06-01T21:00:00,2.5,0.19
ZONE_A,2026-06-01T22:00:00,,0.25
Zone_A,2026-06-01T23:00:00,2.36,
ZONE_A,2026-06-02T00:00:00,,0.94
Zone_A,2026-06-02T01:00:00,2.51,
Zone_A,2026-06-02T02:00:00,2.51,0.74
ZONE_A,2026-06-02T03:00:00,2.86,7.01
Zone_A,2026-06-02T04:00:00,2.77,0.24
Zone_A,2026-06-02T05:00:00,2.89,0.86
Zone_A,2026-06-02T06:00:00,2.82,0.55
zone_a,2026-06-02T07:00:00,2.67,-999.0
Zone_A,2026-06-02T08:00:00,2.77,
Zone_A,2026-06-02T09:00:00,2.67,0.79
zone_a,2026-06-02T10:00:00,2.52,0.54
Zone_A,2026-06-02T11:00:00,2.46,1.63
Zone_A,2026-06-02T12:00:00,2.48,0.29
Zone_A,2026-06-02T13:00:00,2.49,3.17
Zone_A,2026-06-02T14:00:00,2.5,1.57
Zone_A,2026-06-02T15:00:00,2.65,3.44
Zone_A,2026-06-02T16:00:00,2.58,-999.0
Zone_A,2026-06-02T17:00:00,3.16,8.38
Zone_A,2026-06-02T18:00:00,3.01,0.85
Zone_A,2026-06-02T19:00:00,,11.54
Zone_A,2026-06-02T20:00:00,3.59,1.16
zone_a,2026-06-02T21:00:00,3.19,0.22
Zone_A,2026-06-02T22:00:00,2.96,1.09
Zone_A,2026-06-02T23:00:00,2.84,2.01
Zone_A,2026-06-03T00:00:00,2.74,0.02
Zone_A,2026-06-03T01:00:00,2.84,2.54
Zone_A,2026-06-03T02:00:00,2.72,0.16
Zone_A,2026-06-03T03:00:00,2.94,3.29
Zone_A,2026-06-03T04:00:00,5000.0,5.16
ZONE_A,2026-06-03T05:00:00,5000.0,1.97
zone_a,2026-06-03T06:00:00,3.04,2.68
zone_a,2026-06-03T06:00:00,3.04,2.68
Zone_A,2026-06-03T07:00:00,2.96,1.9
Zone_A,2026-06-03T08:00:00,3.31,10.56
Zone_A,2026-06-03T09:00:00,3.1,
Zone_A,2026-06-03T10:00:00,3.06,0.85
Zone_A,2026-06-03T11:00:00,,3.41
Zone_A,2026-06-03T12:00:00,,5.38
Zone_A,2026-06-03T13:00:00,3.2,0.78
Zone_A,2026-06-03T14:00:00,3.12,0.33
Zone_A,2026-06-03T15:00:00,3.16,4.06
Zone_A,2026-06-03T16:00:00,,
zone_a,2026-06-03T17:00:00,2.85,
Zone_A,2026-06-03T18:00:00,2.77,-999.0
Zone_A,2026-06-03T19:00:00,2.57,0.12
Zone_A,2026-06-03T20:00:00,2.61,0.6
Zone_A,2026-06-03T21:00:00,2.59,2.0
Zone_A,2026-06-03T22:00:00,2.92,6.97
Zone_A,2026-06-03T23:00:00,2.66,0.07
Zone_A,2026-06-04T00:00:00,5000.0,0.76
Zone_A,2026-06-04T01:00:00,2.45,0.2
Zone_A,2026-06-04T02:00:00,2.49,-999.0
Zone_A,2026-06-04T03:00:00,2.33,0.01
Zone_A,2026-06-04T04:00:00,2.28,1.46
Zone_A,2026-06-04T05:00:00,2.25,0.87
Zone_A,2026-06-04T06:00:00,2.4,-999.0
Zone_A,2026-06-04T07:00:00,,3.46
Zone_A,2026-06-04T08:00:00,2.43,0.99
ZONE_A,2026-06-04T09:00:00,,0.78
Zone_A,2026-06-04T10:00:00,2.59,
Zone_A,2026-06-04T11:00:00,2.68,0.33
Zone_A,2026-06-04T12:00:00,2.66,5.53
Zone_A,2026-06-04T13:00:00,2.65,1.03
Zone_A,2026-06-04T14:00:00,2.61,1.59
Zone_A,2026-06-04T15:00:00,2.97,8.23
zone_a,2026-06-04T16:00:00,2.94,-999.0
Zone_A,2026-06-04T17:00:00,2.89,0.23
Zone_A,2026-06-04T18:00:00,2.88,
Zone_A,2026-06-04T19:00:00,,
Zone_A,2026-06-04T20:00:00,2.69,0.04
Zone_A,2026-06-04T21:00:00,2.61,2.14
Zone_A,2026-06-04T22:00:00,2.51,0.58
Zone_A,2026-06-04T23:00:00,2.65,1.56
ZONE_A,2026-06-05T00:00:00,2.74,0.46
Zone_A,2026-06-05T01:00:00,3.22,11.22
Zone_A,2026-06-05T02:00:00,3.33,1.73
Zone_A,2026-06-05T03:00:00,3.39,
Zone_A,2026-06-05T04:00:00,4.33,23.38
ZONE_A,2026-06-05T05:00:00,4.95,16.36
Zone_A,2026-06-05T06:00:00,,15.57
Zone_A,2026-06-05T07:00:00,6.59,34.34
ZONE_A,2026-06-05T08:00:00,7.69,28.49
Zone_A,2026-06-05T09:00:00,,-999.0
Zone_A,2026-06-05T10:00:00,10.38,35.38
Zone_A,2026-06-05T11:00:00,11.14,30.21
Zone_A,2026-06-05T12:00:00,11.44,22.57
ZONE_A,2026-06-05T13:00:00,12.9,49.16
Zone_A,2026-06-05T14:00:00,13.86,40.64
Zone_A,2026-06-05T15:00:00,13.28,10.72
Zone_A,2026-06-05T16:00:00,,44.09
Zone_A,2026-06-05T17:00:00,14.65,27.22
Zone_A,2026-06-05T18:00:00,13.91,-999.0
zone_a,2026-06-05T19:00:00,14.19,32.88
ZONE_A,2026-06-05T20:00:00,14.27,26.44
Zone_A,2026-06-05T21:00:00,,
Zone_A,2026-06-05T22:00:00,15.06,
Zone_A,2026-06-05T23:00:00,14.91,24.85
