event_id,rainfall_mm,gauge_level_m,call_volume,risk_label
HIST-LOW-01,15.1,2.53,19,LOW
HIST-LOW-02,21.2,1.42,30,LOW
HIST-LOW-03,7.7,1.84,35,LOW
HIST-LOW-04,22.6,1.28,35,LOW
HIST-LOW-05,27.5,1.5,32,LOW
HIST-LOW-06,21.7,2.06,36,LOW
HIST-LOW-07,12.9,2.06,39,LOW
HIST-LOW-08,31.3,1.53,14,LOW
HIST-LOW-09,28.2,2.15,20,LOW
HIST-LOW-10,6.8,2.53,25,LOW
HIST-LOW-11,26.8,1.63,13,LOW
HIST-LOW-12,23.5,1.82,18,LOW
HIST-LOW-13,21.5,2.37,25,LOW
HIST-LOW-14,15.6,1.46,15,LOW
HIST-LOW-15,13.4,1.93,15,LOW
HIST-MOD-01,51.1,4.26,98,MODERATE
HIST-MOD-02,76.0,4.16,68,MODERATE
HIST-MOD-03,69.0,3.42,116,MODERATE
HIST-MOD-04,55.7,3.51,107,MODERATE
HIST-MOD-05,64.4,4.25,114,MODERATE
HIST-MOD-06,62.9,3.18,69,MODERATE
HIST-MOD-07,50.5,3.02,63,MODERATE
HIST-MOD-08,70.5,3.26,117,MODERATE
HIST-MOD-09,71.9,3.92,89,MODERATE
HIST-MOD-10,71.1,3.79,95,MODERATE
HIST-MOD-11,75.2,4.11,66,MODERATE
HIST-MOD-12,55.9,3.08,77,MODERATE
HIST-MOD-13,67.1,3.87,98,MODERATE
HIST-MOD-14,66.0,4.15,119,MODERATE
HIST-MOD-15,57.6,4.26,57,MODERATE
BENCH-MUMB,190.0,5.85,450,SEVERE
BENCH-KERA,115.0,5.4,380,SEVERE
BENCH-HURR,85.0,4.9,520,SEVERE
BENCH-CHEN,140.0,5.2,340,SEVERE
HIST-SEV-01,142.1,5.34,291,SEVERE
HIST-SEV-02,122.0,5.28,164,SEVERE
HIST-SEV-03,93.3,5.16,328,SEVERE
HIST-SEV-04,87.4,5.45,201,SEVERE
HIST-SEV-05,127.2,5.54,378,SEVERE
HIST-SEV-06,103.7,5.12,320,SEVERE
HIST-SEV-07,100.2,5.91,220,SEVERE
HIST-SEV-08,106.7,4.74,215,SEVERE
HIST-SEV-09,131.8,4.94,283,SEVERE
HIST-SEV-10,119.2,4.83,233,SEVERE
HIST-SEV-11,151.9,5.31,241,SEVERE
