scenario_name,rainfall_mm,gauge_level_m,call_volume,risk_label,regime
Synthetic_LOW_Sample_0001,22.3,1.82,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0002,26.8,1.79,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0003,27.0,2.12,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0004,22.5,1.71,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0005,21.2,1.23,14,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0006,17.8,1.53,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0007,16.3,1.4,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0008,19.2,1.89,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0009,17.9,1.9,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0010,21.8,1.67,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0011,17.6,2.48,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0012,15.7,2.14,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0013,21.1,1.22,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0014,21.1,2.11,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0015,19.7,1.77,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0016,17.1,1.71,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0017,21.7,1.28,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0018,18.5,1.64,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0019,24.6,2.18,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0020,18.9,1.98,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0021,18.1,1.81,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0022,15.1,2.14,31,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0023,19.9,2.2,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0024,17.4,1.99,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0025,20.1,2.39,9,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0026,23.7,1.9,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0027,20.6,1.21,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0028,21.7,2.36,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0029,16.7,1.7,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0030,21.6,1.69,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0031,20.6,2.19,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0032,18.8,1.74,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0033,21.5,1.95,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0034,19.2,1.4,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0035,18.7,1.6,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0036,21.9,2.49,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0037,21.3,1.84,13,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0038,20.1,1.89,38,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0039,19.4,1.97,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0040,15.2,2.25,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0041,23.6,1.56,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0042,14.2,2.06,36,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0043,15.9,1.68,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0044,18.0,1.35,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0045,15.6,2.02,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0046,26.9,1.61,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0047,23.7,1.46,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0048,25.8,1.33,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0049,21.3,2.13,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0050,14.5,2.04,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0051,21.3,1.98,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0052,21.2,1.96,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0053,28.2,2.02,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0054,23.0,1.54,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0055,25.2,1.59,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0056,22.0,2.14,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0057,19.1,1.62,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0058,16.7,1.84,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0059,21.4,2.14,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0060,26.5,1.78,39,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0061,22.9,1.58,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0062,22.3,1.79,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0063,22.2,1.84,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0064,13.7,1.72,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0065,21.1,1.45,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0066,21.9,1.57,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0067,20.5,1.49,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0068,22.6,2.23,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0069,14.3,1.56,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0070,22.4,2.04,46,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0071,22.7,2.24,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0072,23.0,1.76,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0073,16.9,1.79,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0074,20.6,2.64,13,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0075,23.2,1.33,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0076,24.9,1.89,17,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0077,17.1,2.09,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0078,21.1,1.88,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0079,29.4,2.08,12,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0080,21.0,1.65,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0081,16.8,1.83,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0082,23.9,1.47,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0083,18.2,1.65,34,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0084,21.9,1.45,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0085,29.3,2.21,15,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0086,18.1,2.29,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0087,22.1,2.12,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0088,19.9,0.79,18,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0089,19.1,1.45,33,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0090,14.1,1.72,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0091,26.4,1.39,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0092,20.2,1.54,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0093,21.1,1.67,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0094,18.5,1.9,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0095,27.0,1.46,36,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0096,11.8,1.82,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0097,21.4,1.66,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0098,18.1,1.67,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0099,21.7,1.64,29,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0100,21.5,2.14,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0101,16.6,1.68,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0102,22.8,1.86,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0103,25.7,1.67,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0104,19.3,1.79,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0105,23.8,2.14,31,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0106,20.3,2.09,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0107,21.6,1.82,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0108,22.8,1.6,36,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0109,15.9,1.46,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0110,23.6,2.07,27,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0111,20.2,1.57,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0112,17.3,2.19,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0113,16.7,1.76,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0114,17.8,1.59,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0115,21.3,1.7,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0116,21.2,1.39,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0117,17.1,1.8,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0118,26.6,2.15,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0119,20.1,1.53,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0120,19.0,1.97,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0121,22.4,2.38,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0122,21.9,2.1,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0123,21.2,1.87,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0124,16.9,1.87,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0125,26.4,2.19,36,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0126,16.9,2.16,25,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0127,29.6,1.6,19,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0128,17.6,1.16,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0129,16.9,1.92,26,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0130,28.3,2.18,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0131,16.3,2.03,16,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0132,28.1,2.26,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0133,12.8,2.32,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0134,25.5,1.34,20,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0135,20.2,1.88,21,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0136,22.9,1.51,23,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0137,20.7,2.04,28,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0138,15.4,1.36,31,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0139,21.6,1.62,32,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0140,20.7,2.26,24,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0141,29.1,2.45,22,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0142,24.4,2.08,31,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0143,16.1,2.09,30,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0144,12.6,1.47,12,LOW,Baseline Distribution Sample
Synthetic_LOW_Sample_0145,19.0,2.11,32,LOW,Baseline Distribution Sample
